,colname,mse,simplecnnnormal_auto,simplecnnnormal,simplecnnsmall,densenet,densenet_auto
15,race.ethnicity,0.5316253002401922,0.7389911929543634,0.7181745396317054,0.6909527622097679,0.7085668534827863,0.6749399519615693
16,female,0.5340272217774219,0.8759007205764612,0.8510808646917534,0.8110488390712571,0.8702962369895917,0.8478783026421137
17,high.educ_group,0.8742994395516414,0.8783026421136909,0.8734987990392313,0.8742994395516414,0.8751000800640513,0.8742994395516414
18,income_group,0.29063250600480384,0.300240192153723,0.3130504403522818,0.300240192153723,0.32586068855084066,0.32265812650120096
19,married,0.7077662129703763,0.7221777421937551,0.7317854283426741,0.7069655724579663,0.7261809447558046,0.7237790232185749
