,colname,mse,t2,t1,t1t2def,t1t2,def
0,BMI_norm,0.9308823480557943,0.21137048799195607,0.2079052402077912,0.2606155969697633,0.21439981575103834,2.0683077712169737
1,age_norm,1.0055562306557368,0.8228882911016313,0.8219001959380005,1.1389536433834568,0.8565054191790933,1.7399589593549842
2,vol_norm,0.9863136160510494,0.0987117636003334,1.0484096261384108,0.33812902372679393,0.061479151582985135,43.871046837469976
3,weight_norm,0.9780249726856854,0.16824406791057847,0.14006752276821458,0.1895556362081853,0.1263394382498186,20.067804243394715
4,height_norm,1.0848212366706498,0.5591724356047338,0.7762362722209017,0.7030714415282225,0.5231040300990792,128.99859887910327
5,nihtbx_fluidcomp_uncorrected_norm,0.9921993391908458,0.9872309957340872,1.0086633760133106,1.0422762037755204,0.9950877694342974,1.797847457653623
6,nihtbx_cryst_uncorrected_norm,1.0295354134138357,1.0187779129553642,1.0382120149244396,1.0257536107010607,1.0325526045836668,1.0291044358924641
7,nihtbx_pattern_uncorrected_norm,0.9698060929348349,0.9671368931082366,0.9717156537730184,0.9948899549326962,0.9785981128652922,1.0512982651746396
8,nihtbx_picture_uncorrected_norm,0.9168661496593039,0.9179786211781924,0.9250226352957366,0.9266506955564452,0.9212390420148618,0.9211497127389412
9,nihtbx_list_uncorrected_norm,1.0487354913496636,1.0531739845001,1.0554656615917737,1.0581394803342674,1.0567795056357585,1.0566922287830265
10,nihtbx_flanker_uncorrected_norm,1.047287349078258,1.0463491887259808,1.0596273894115291,1.0482301857110692,1.0530388177729684,1.064634324647218
11,nihtbx_picvocab_uncorrected_norm,1.1178935082882222,1.1142552714046237,1.1291379783514308,1.1113982005917231,1.1254282723053444,1.4230139971352085
12,nihtbx_cardsort_uncorrected_norm,0.9341045851254999,0.9340745056983086,0.9335690231872998,0.9488436452286828,0.93441911732511,1.0332746666082866
13,nihtbx_totalcomp_uncorrected_norm,0.998114596706339,0.9811826023318656,1.0045876544985988,1.0095267620346278,0.9946563696269516,1.0080511674964971
14,nihtbx_reading_uncorrected_norm,0.9644964438388782,0.9590234687750201,0.9660920142363892,0.9679370449484588,0.962766599998749,0.9644911241493196
