,colname,mse,cross,cross_densenet1,densenet_hierch,simplenormal_hierch,cross_densenet2,desnet_t1t2,simplenormal_t1t2
15,married,0.7077662129703763,0.7309847878302642,0.7157726180944756,0.7117694155324259,0.7261809447558046,0.7261809447558046,0.7261809447558046,0.7317854283426741
16,income_group,0.29063250600480384,0.3074459567654123,0.3050440352281825,0.29703763010408324,0.3202562049639712,0.2962369895916733,0.32586068855084066,0.3130504403522818
17,race.ethnicity,0.5316253002401922,0.6789431545236189,0.5564451561248999,0.7245796637309848,0.6605284227381906,0.6204963971176941,0.7085668534827863,0.7181745396317054
18,female,0.5340272217774219,0.8855084067253803,0.7726180944755805,0.9159327461969576,0.77822257806245,0.6901521216973578,0.8702962369895917,0.8510808646917534
19,high.educ_group,0.8742994395516414,0.8742994395516414,0.8742994395516414,0.8742994395516414,0.8734987990392313,0.8742994395516414,0.8751000800640513,0.8734987990392313
