,colname,mse,org256,cropped64,down128,down64,cropped128
0,BMI_norm,0.9308823480557943,5.06357429693755,0.2479660974873649,0.22308344722653126,0.2434747114097528,0.30202081587144713
1,age_norm,1.0055562306557368,0.9996005593537328,0.8877648994195356,0.7864308048000901,1.0735727253677942,0.9532485363290631
2,vol_norm,0.9863136160510494,0.1396453344316078,0.12701527188547712,0.05314143282399357,0.07340916678655425,0.12871172181886134
3,weight_norm,0.9780249726856854,1.0979350863503303,0.21151999724779824,0.1555207422774157,0.17793776036454162,0.2072691844882156
4,height_norm,1.0848212366706498,0.7208253907813751,0.6574586817891813,0.5839276890262209,0.6466730024644716,0.5915617259432546
5,nihtbx_fluidcomp_uncorrected_norm,0.9921993391908458,1.0048986454788829,1.0184678993194556,1.008544921875,1.0252954316578262,1.006609389073759
6,nihtbx_cryst_uncorrected_norm,1.0295354134138357,1.0951005921925039,1.0596087221339572,1.0653898118494796,1.0459909920123598,1.0259037307971377
7,nihtbx_pattern_uncorrected_norm,0.9698060929348349,1.038769492156225,0.993947110813651,0.999553451354834,1.0318097251238492,0.9740881572445456
8,nihtbx_picture_uncorrected_norm,0.9168661496593039,0.9651381261259008,0.9333013285628504,0.9528190912104684,0.9595227940164632,1.028651925446607
9,nihtbx_list_uncorrected_norm,1.0487354913496636,1.136448318811299,1.1073074279736288,1.0599107215459869,1.0912189712707665,1.0726210851493696
10,nihtbx_flanker_uncorrected_norm,1.047287349078258,1.0513243602694655,1.060265595288731,1.067860538430745,1.0768675487264812,1.056645707190753
11,nihtbx_picvocab_uncorrected_norm,1.1178935082882222,1.1245582403422738,1.1379484446932546,1.1582032227344377,1.168967693686199,1.1443850392814252
12,nihtbx_cardsort_uncorrected_norm,0.9341045851254999,1.0110783939651722,0.9656676513085468,0.9462421499699759,0.9847102291207966,0.9361793145453864
13,nihtbx_totalcomp_uncorrected_norm,0.998114596706339,1.003806756342574,1.0377467990017013,1.078624813913631,1.0378727786917037,1.002986568942654
14,nihtbx_reading_uncorrected_norm,0.9644964438388782,1.2038609403147518,1.0123705409640211,1.0111745646517214,0.9722128288568356,0.9604400317128704
