,colname,mse,t1t2,t1,t1t2def,def,t2
0,BMI_norm,0.9308823480557943,0.220945310936249,0.2084751541467549,0.2214099404523619,3.6092280074059246,0.2441380350374049
1,age_norm,1.0055562306557368,0.8285764353670436,0.8720452924839872,0.9521717960305744,23.22567585318255,0.8937137014298939
2,vol_norm,0.9863136160510494,0.060331596576089004,0.11442667317447708,0.4754714416064101,792.8582866293034,0.13008806703565978
3,weight_norm,0.9780249726856854,0.1535701217223779,0.16940079162939728,0.1737602606499262,176.5509657726181,0.17928686210687303
4,height_norm,1.0848212366706498,0.554635163208692,0.6331264230134107,0.6767733034083517,481.1667333867094,0.6353918584086019
5,nihtbx_fluidcomp_uncorrected_norm,0.9921993391908458,0.99852557827512,0.993217034565152,1.0795372626225979,5.168417155599481,0.995726659452562
6,nihtbx_cryst_uncorrected_norm,1.0295354134138357,1.0570973380266713,1.0511335826473678,1.0322716180757106,16.371650445356284,1.0278550965772617
7,nihtbx_pattern_uncorrected_norm,0.9698060929348349,0.9749776383606884,0.9800755643577362,1.5611498964796835,43.54297813250601,0.9699718759382506
8,nihtbx_picture_uncorrected_norm,0.9168661496593039,0.9189077824759808,0.932627645084818,1.0480754720964272,7.792893689951963,0.9602907912267312
9,nihtbx_list_uncorrected_norm,1.0487354913496636,1.0620391821269517,1.0559168037555045,1.0732846042458968,1.0539426658514308,1.0563561200522915
10,nihtbx_flanker_uncorrected_norm,1.047287349078258,1.0505299747610588,1.0494578279811348,1.0539523415607486,2.4482795220551443,1.0529108833942151
11,nihtbx_picvocab_uncorrected_norm,1.1178935082882222,1.1186500958579364,1.120005574772318,1.1212686946432149,10.724363866092872,1.1213753229145818
12,nihtbx_cardsort_uncorrected_norm,0.9341045851254999,0.9317470578024921,0.9432631065790132,0.9320433886171438,14.514539756805446,0.9345825293046938
13,nihtbx_totalcomp_uncorrected_norm,0.998114596706339,0.9945646947245296,1.003075214077512,1.0194564831552742,14.311105134107287,0.9916693120121096
14,nihtbx_reading_uncorrected_norm,0.9644964438388782,0.9607829818542334,0.9748059189539132,0.9718473020603984,2.524718212069656,0.962277243669936
