,colname,mse,t1t2,t1,t1t2def,def,t2
15,race.ethnicity,0.5316253002401922,0.6349079263410728,0.589271417133707,0.5748598879103283,0.5316253002401922,0.6405124099279423
16,high.educ_group,0.8742994395516414,0.8718975180144115,0.8742994395516414,0.8742994395516414,0.8742994395516414,0.8751000800640513
17,married,0.7077662129703763,0.7309847878302642,0.7213771016813451,0.7125700560448359,0.7077662129703763,0.7181745396317054
18,female,0.5340272217774219,0.8030424339471577,0.8326661329063251,0.7421937550040032,0.6317053642914331,0.7245796637309848
19,income_group,0.29063250600480384,0.3146517213771017,0.29063250600480384,0.28422738190552443,0.29063250600480384,0.3170536429143315
