,name,best_loss_test,best_acc_test,best_loss_val,best_acc_val,best_acc_epochs,best_loss_epochs
0,female,0.06558025350944818,0.7309847878302642,0.06488845251005491,0.7502001601281025,1,1
1,married,0.1305808318529824,0.7077662129703763,0.13303286672306594,0.7021617293835068,1,0
2,income_group,0.2584477005432471,0.2978382706164932,0.2465440858546212,0.33386709367493994,0,0
3,race.ethnicity,0.18612056393161405,0.5364291433146517,0.16834692118929517,0.5756605284227382,0,0
4,high.educ_group,0.052105582170814776,0.8734987990392313,0.04808379174042359,0.8831064851881505,1,1
5,BMI_norm,0.28985129021185696,5.096050668659928,0.2854663125031275,5.018956571507206,0,0
6,age_norm,1.2090615852056645,67.63172412930344,1.3222174419222879,73.96135033026421,0,0
7,vol_norm,0.2489371868588621,0.2497842023618895,0.24852799720244945,0.2493736199897418,0,1
8,weight_norm,0.22371652204576162,121.68128252602082,0.24666779321895016,134.16474429543635,0,0
9,height_norm,1.1992678126876501,11.920569267914331,1.154794050083817,11.478508588120496,0,0
10,nihtbx_fluidcomp_uncorrected_norm,1.0501412849029224,0.7876710548126001,1.0346808696957566,0.7760748637972879,0,0
11,nihtbx_cryst_uncorrected_norm,1.3709211509832866,0.8438003332353383,1.3786649436736889,0.8485666462857786,0,1
12,nihtbx_pattern_uncorrected_norm,1.023145567235038,0.9207897568054444,1.0282368472903323,0.9253715472377902,0,1
13,nihtbx_picture_uncorrected_norm,1.0187164379941454,0.9345485177204264,1.0677172597452962,0.9795013745371297,0,1
14,nihtbx_list_uncorrected_norm,1.0752123182921338,0.8513982084104784,1.0128933224704764,0.8020515044848379,0,1
15,nihtbx_flanker_uncorrected_norm,1.0532900930119096,0.8666634479458567,1.0214065783877102,0.8404289838120497,0,0
16,nihtbx_picvocab_uncorrected_norm,3.248968119808347,2.0993832175115092,3.230900345276221,2.087709425352782,0,1
17,nihtbx_cardsort_uncorrected_norm,1.8207487865292233,1.5649825524482086,1.8744464321457166,1.6111355881580265,0,0
18,nihtbx_totalcomp_uncorrected_norm,1.6943482520391313,1.0485434245834167,1.6748099651596278,1.036452110907476,0,0
19,nihtbx_reading_uncorrected_norm,1.0684186020691553,0.7851942198289882,1.1072804532688652,0.8137542260370797,0,0
