,name,best_loss_test,best_acc_test,best_loss_val,best_acc_val,best_acc_epochs,best_loss_epochs
0,married,0.13337328798585743,0.7077662129703763,0.13508983456296286,0.7013610888710968,0,0
1,high.educ_group,0.07662958980465623,0.8742994395516414,0.07075002042649745,0.8831064851881505,0,0
2,income_group,0.26837795920330015,0.29063250600480384,0.26450398600130104,0.32746196957566054,0,0
3,female,0.1404395366879441,0.5372297838270617,0.14555741272705663,0.5180144115292233,0,0
4,race.ethnicity,0.23797954379128303,0.5316253002401922,0.21133943287442453,0.5740592473979184,0,0
5,BMI_norm,0.29424533278966924,5.173308568729984,0.29349456127401924,5.160109728407726,0,0
6,age_norm,3.317396495321257,185.56649069255405,2.938970707816253,164.39833116493193,0,0
7,vol_norm,7.693335918734988,7.719517801741393,7.531981053592874,7.557610150620496,0,0
8,weight_norm,0.9382774774507106,510.3371196957566,0.9314768220826661,506.6382105684548,0,0
9,height_norm,0.8057854486714372,8.009401271016813,0.7614731433584367,7.568944217874299,0,0
10,nihtbx_fluidcomp_uncorrected_norm,1.0904877222090172,0.8179335949228133,1.1004752043822559,0.8254247929593675,0,0
11,nihtbx_cryst_uncorrected_norm,1.0475464355859687,0.6447637602269315,1.0499899919935949,0.6462675511502952,0,0
12,nihtbx_pattern_uncorrected_norm,0.9800755643577362,0.8820281811386609,0.9713835521542233,0.8742056144915933,0,0
13,nihtbx_picture_uncorrected_norm,1.9138019399894917,1.7556809119170336,1.9222970173013412,1.7634750378427742,0,0
14,nihtbx_list_uncorrected_norm,1.5432532549477083,1.2220129619320457,1.440641478026171,1.1407602644615693,0,0
15,nihtbx_flanker_uncorrected_norm,1.0494578279811348,0.863509753114992,1.015324173401221,0.8354242964684248,0,0
16,nihtbx_picvocab_uncorrected_norm,1.218411154705014,0.7873003480909728,1.159003081371347,0.7489125089133807,0,0
17,nihtbx_cardsort_uncorrected_norm,1.0557929742231285,0.9074823335230685,1.0982800889148818,0.9440011970513911,0,0
18,nihtbx_totalcomp_uncorrected_norm,1.003075214077512,0.6207504089208867,1.0052706227481985,0.6221093574078013,0,0
19,nihtbx_reading_uncorrected_norm,1.019391782957616,0.7491634909490092,1.0440768630529424,0.7673048595126101,0,0
