,name,loss,acc
0,race.ethnicity,0.08564630101938717,0.7868852459016393
1,married,0.09727326377493437,0.8524590163934426
2,income_group,0.3126625311179239,0.22131147540983606
3,high.educ_group,0.06798754363763528,0.9262295081967213
4,female,0.07169309991304992,0.7295081967213115
5,BMI_norm,1.6707472254018314,29.374427670338115
6,age_norm,1.216266944760182,68.03478803790983
7,vol_norm,0.9122974208143891,0.9154014587402344
8,weight_norm,0.9943023431496542,540.8095543032787
9,height_norm,0.5265471036316919,5.233809674372439
10,nihtbx_fluidcomp_uncorrected_norm,1.4075892714203382,1.0557792538502178
11,nihtbx_cryst_uncorrected_norm,1.1713306864754098,0.7209528313308465
12,nihtbx_pattern_uncorrected_norm,0.8281513276647349,0.7453024191934554
13,nihtbx_picture_uncorrected_norm,1.9706248299020235,1.8078096733718623
14,nihtbx_list_uncorrected_norm,0.9868249736848425,0.781409529388928
15,nihtbx_flanker_uncorrected_norm,0.8682818178270684,0.7144356399285988
16,nihtbx_picvocab_uncorrected_norm,1.086993983534516,0.7023821346095351
17,nihtbx_cardsort_uncorrected_norm,1.426074293793225,1.225748906370069
18,nihtbx_totalcomp_uncorrected_norm,1.7347031890368851,1.0735169707751664
19,nihtbx_reading_uncorrected_norm,1.0725499137503203,0.7882302706358862
