,colname,mse,runAllImages64_SimpleCNN_T1T2_multitask_test.csvUnnamed: 0,runAllImages64_SimpleCNN_T1T2_multitask_test.csvname,runAllImages64_SimpleCNN_T1T2_multitask_test.csvbest_loss_test,runAllImages64_SimpleCNN_T1T2_multitask_test.csvbest_acc_test,runAllImages64_SimpleCNN_T1T2_multitask_test.csvbest_loss_val,runAllImages64_SimpleCNN_T1T2_multitask_test.csvbest_acc_val,runAllImages64_DenseNet_T1T2_multitask_test.csvUnnamed: 0,runAllImages64_DenseNet_T1T2_multitask_test.csvname,runAllImages64_DenseNet_T1T2_multitask_test.csvbest_loss_test,runAllImages64_DenseNet_T1T2_multitask_test.csvbest_acc_test,runAllImages64_DenseNet_T1T2_multitask_test.csvbest_loss_val,runAllImages64_DenseNet_T1T2_multitask_test.csvbest_acc_val,runAllImages64_SimpleCNN_T1_multitask_test.csvUnnamed: 0,runAllImages64_SimpleCNN_T1_multitask_test.csvname,runAllImages64_SimpleCNN_T1_multitask_test.csvbest_loss_test,runAllImages64_SimpleCNN_T1_multitask_test.csvbest_acc_test,runAllImages64_SimpleCNN_T1_multitask_test.csvbest_loss_val,runAllImages64_SimpleCNN_T1_multitask_test.csvbest_acc_val
0,BMI_norm,0.9308823480557943,5,BMI_norm,0.22420157805932245,3.9418245533927134,0.21303940124756052,3.745574975605485,5,BMI_norm,0.21375591684284928,3.7581725536679342,0.20762718573296135,3.650421900020016,5,BMI_norm,0.2373029771473429,4.1721685942504,0.22132745258706965,3.8912931126150916
1,age_norm,1.0055562306557368,6,age_norm,1.0411983883982183,58.24191853482786,0.9798712993832566,54.811442904323464,6,age_norm,0.8866566886321557,49.5972621847478,0.8765307167609088,49.030834042233785,6,age_norm,0.9721346413067954,54.37869045236189,0.918990074872398,51.40591535728582
2,vol_norm,0.9863136160510494,7,vol_norm,0.3973352510133106,0.3986870160190653,0.37396785103864333,0.3752403778491543,7,vol_norm,0.0434170731360479,0.04356479263000244,0.048706011928683575,0.04887173593855553,7,vol_norm,0.1419437063322533,0.142426734356235,0.14497072511524844,0.1454639541711494
3,weight_norm,0.9780249726856854,8,weight_norm,0.17814830477663382,96.89637334867895,0.18173333833082086,98.84633331665331,8,weight_norm,0.1282806274316328,69.77288080464372,0.15360933766544485,83.5494332966373,8,weight_norm,0.19256878891785306,104.7398231084868,0.21153482844869645,115.05559447558045
4,height_norm,1.0848212366706498,9,height_norm,0.7440581860019265,7.395847928342675,0.7328121774763561,7.284057714921937,9,height_norm,0.7408320210856185,7.36377148593875,0.7254921124399519,7.211298726481185,9,height_norm,0.6249569479802592,6.211992250050041,0.5929614785578463,5.893959699009208
5,nihtbx_fluidcomp_uncorrected_norm,0.9921993391908458,10,nihtbx_fluidcomp_uncorrected_norm,1.1777419005516914,0.8833793597377902,1.1909154276546237,0.8932604091085369,10,nihtbx_fluidcomp_uncorrected_norm,0.9865368857586068,0.7399642370146117,0.9942171510646016,0.7457246070293735,10,nihtbx_fluidcomp_uncorrected_norm,1.0169709009395016,0.7627916786554243,1.0012946880942253,0.7510330041376851
6,nihtbx_cryst_uncorrected_norm,1.0295354134138357,11,nihtbx_cryst_uncorrected_norm,1.2063411471364591,0.7425017650839422,1.1858511223040933,0.729890113262485,11,nihtbx_cryst_uncorrected_norm,1.0267660417396418,0.6319734009864141,1.0275519243519815,0.6324569421161931,11,nihtbx_cryst_uncorrected_norm,1.1984041334630204,0.7376164114885658,1.1955284931069856,0.7358466362934097
7,nihtbx_pattern_uncorrected_norm,0.9698060929348349,12,nihtbx_pattern_uncorrected_norm,0.9825012353632906,0.884210884332466,1.0027775149807343,0.9024594675740591,12,nihtbx_pattern_uncorrected_norm,0.9827487966936048,0.8844338165845176,0.979195465747598,0.8812361412567554,12,nihtbx_pattern_uncorrected_norm,0.9932961017251299,0.8939257851593775,0.9802557866605784,0.8821903225705564
8,nihtbx_picture_uncorrected_norm,0.9168661496593039,13,nihtbx_picture_uncorrected_norm,0.9385284594863392,0.8609866408752002,0.9693650428155024,0.8892750919485588,13,nihtbx_picture_uncorrected_norm,0.9205358427366892,0.8444800762484987,0.959789120358787,0.8804904274982486,13,nihtbx_picture_uncorrected_norm,0.9340191880066552,0.8568492489303943,0.9652650831602784,0.8855138798538831
9,nihtbx_list_uncorrected_norm,1.0487354913496636,14,nihtbx_list_uncorrected_norm,1.195822966967324,0.9469031279711267,1.0870826544047738,0.8607976224729784,14,nihtbx_list_uncorrected_norm,1.063641440496147,0.8422359958279123,1.009756535697308,0.7995674371528473,14,nihtbx_list_uncorrected_norm,1.1463971958817054,0.9077658611264012,1.0761325857561048,0.8521273073146017
10,nihtbx_flanker_uncorrected_norm,1.047287349078258,15,nihtbx_flanker_uncorrected_norm,1.1114802975192657,0.9145432556983086,1.0767643411604284,0.8859778252289331,15,nihtbx_flanker_uncorrected_norm,1.0506166652071658,0.8644636412254804,1.021824490842674,0.8407733999699759,15,nihtbx_flanker_uncorrected_norm,1.2054362239791834,0.991851489003703,1.17255835918735,0.964798987627602
11,nihtbx_picvocab_uncorrected_norm,1.1178935082882222,16,nihtbx_picvocab_uncorrected_norm,1.1799521648568856,0.7624489728501551,1.078985551722628,0.6972070820719075,16,nihtbx_picvocab_uncorrected_norm,1.121044198640162,0.7243843414575408,1.038113107673639,0.6707972823571358,16,nihtbx_picvocab_uncorrected_norm,1.1671906861426642,0.7542026296818705,1.0710474629703763,0.6920780276565002
