,name,loss,acc
0,race.ethnicity,0.3986203865926774,0.12295081967213115
1,married,0.1489249370137199,0.5819672131147541
2,income_group,0.3888809329173604,0.14754098360655737
3,female,0.07124001080872583,0.7049180327868853
4,high.educ_group,0.12714376605925012,0.6967213114754098
5,BMI_norm,2.0040413278048157,35.2342749423668
6,age_norm,7.076811243276127,395.8583183913934
7,vol_norm,7.112773457511526,7.136974897540983
8,weight_norm,0.42939920894435196,233.55388703893442
9,height_norm,2.8752571481173157,28.579683897925204
10,nihtbx_fluidcomp_uncorrected_norm,1.6121148281410091,1.209186366347016
11,nihtbx_cryst_uncorrected_norm,1.1228636444592086,0.6911213358894723
12,nihtbx_pattern_uncorrected_norm,0.8613638956038678,0.7751925108862705
13,nihtbx_picture_uncorrected_norm,2.2057912857806095,2.0235463126761015
14,nihtbx_list_uncorrected_norm,0.8842995440373655,0.700225579934042
15,nihtbx_flanker_uncorrected_norm,0.8394076863273245,0.6906775802862449
16,nihtbx_picvocab_uncorrected_norm,1.2201151613329277,0.7884011815805905
17,nihtbx_cardsort_uncorrected_norm,0.8210306636622695,0.7056977318935707
18,nihtbx_totalcomp_uncorrected_norm,1.3228647200787653,0.8186516683609759
19,nihtbx_reading_uncorrected_norm,0.8084402240690638,0.5941329080550397
